Num;Name;Smiles;Melting_point;LogP;
52;DB01325;CCC1NC(=O)C2=CC(S(N)(=O)=O)=C(Cl)C=C2N1;251,0;0
53;DB01329;[H]C12SCC(CSC3=NN=NN3C)=C(C(O)=O)N1C(=O)C2NC(=O)C(NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=C(O)C=C1;189,0;0
54;DB01412;CN1C=NC2=C1C(=O)NC(=O)N2C;357,0;0
55;DB01420;CCC(OC1CCC2([H])C3([H])C([H])(C4(C)C(=CC(=O)CC4)CC3)CCC12C)=O;120,0;0
56;DB01431;[H]C12C3([H])C([H])(C4([H])C(=CCCC4)CC3)CCC1(C)C(O)(CC=C)CC2;80,0;0
57;DB01437;CCC1(C2=CC=CC=C2)CCC(=O)NC1=O;79,5;0
58;DB01446;CC(N)CC1=CNC2=CC=CC=C12;99,0;0
59;DB01464;CCOC(=O)C1(C2=CC=CC=C2)CCN(CCOCC2OCCC2)CC1;28,0;0
60;DB01477;[Br-].COC1=C2OC3([H])C(O)C=CC4([H])C5([H])CC(=C2C43CC[N+]5(C)C)C=C1;260,0;0
61;DB01497;[H]C12N(C)CCC34C(OC5=C(O)C=CC(=C35)C1)C1(OC)C(C(C)(O)CCC)CC42C=C1;215,5;0
62;DB01500;[H]C12CCC(O)C1(C)CCC1([H])C3CCC(=O)C(O)=C3CCC21[H];189,0;0
63;DB01514;[H]C12C(C)(CCC3([H])C1([H])CCC1([H])C3(C)CC3=NON=C3C1)C(O)(C)CC2;152,0;0
64;DB01521;[H]C12CCC(O)C1(C)CCC1([H])C3(C)C(=C(Cl)C(=O)CC3)CCC21[H];189,0;0
65;DB01523;CCN(CCN1C(CC2=CC=C(Cl)C=C2)=NC2=C1C=CC([N+](=O)[O-])=C2)CC;75,5;0
66;DB01525;[H]C12CC(O)C(C(=O)O)C([H])(N1C)CC2;205,0;0
67;DB01527;CC(C)(N)CC1=CC=CC=C1Cl;245,5;0
68;DB01529;CC(CN1CCOCC1)C(C(=O)N1CCCC1)(C1=CC=CC=C1)C1=CC=CC=C1;182,0;0
69;DB01536;[H]C12CCC(=O)C1(C)CCC1([H])C2([H])CCC2=CC(=O)CCC21C;158,0;0
70;DB01546;CCC(N)CC1=CNC2=CC=CC=C12;221,0;0
71;DB01564;[H]C12C(C)(CCC3([H])C4(C)C(=CC(=O)CC4)CC(C)C13[H])C(O)(C)CC2;128,0;0
72;DB01569;[H]C12C3([H])CCC4=CC(=O)C(C=O)=CC4(C)C3([H])C(O)CC1(C)C(O)(C)CC2;210,5;0
73;DB01573;[H]C12OC3=C(OCC4=CC=CC=C4)C=CC4=C3C11CCN(C)C([H])(C4)C1([H])C=CC2O;132,0;0
74;DB01588;O=C1CN=C(C2=CC=CC=C2)C2=C(N1CC1CC1)C=CC(Cl)=C2;145,5;0
75;DB01613;[O-][N+](OCC(O[N+]([O-])=O)C(CO[N+]([O-])=O)O[N+]([O-])=O)=O;61,0;0
76;DB01638;OCC(O)C(O)C(C(O)CO)O;111,0;0
77;DB01645;O=C1C(C2=CC=C(O)C=C2)=COC2=C1C(O)=CC(O)=C2;301,5;0
78;DB01646;[H]C(NC(C)=O)(CCSC)C(O)=O;105,5;0
79;DB01667;NC1=NC2=C(NN=N2)C(O)=N1;300,0;0
80;DB01672;O=C(O)C1=CC=CC(O)=C1O;204,0;0
81;DB01676;CC1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1[N+]([O-])=O;80,1;0
82;DB01677;[O-]C(=O)C=CC([O-])=O;287,0;0
83;DB01692;OC(CS)C(O)CS;83,0;0
84;DB01694;OC(C(O)C(O)=O)C(O)=O;172,5;0
85;DB01711;OCC1=C(F)C(F)=C(F)C(F)=C1F;37,5;0
86;DB01726;NC1=CC=CC=C1O;174,0;0
87;DB01738;NCCCOP(=O)(O)O;242,0;0
88;DB01746;CC(C)CC(N)C(=O)O;293,0;0
