65;DB08968;CN(CC(=O)N1CCOCC1)CC1=C(Cl)C=CC=C1N=C(O)C1=CC=CC=C1;165,84944
66;DB08978;[Br-].C[N+]1(CC(=O)C2=CC=C(C3=CC=CC=C3)C=C2)C2CCC1CC(OC(=O)C(CO)C1=CC=CC=C1)C2;267,720173
67;DB08979;OC1=NCC2(O1)CCN(CCC1=CC=CC=C1)CC2;105,312625
68;DB08981;O=C(O)CCC(=O)C1=CC=C(C2=CC=CC=C2)C=C1;151,567541
69;DB08983;CC(C)(OC1=CC=C(Cl)C=C1)C(OCCOC(=O)C1=CN=CC=C1)=O;140,063553
70;DB08985;CCNCC(O)C1=CC(O)=CC=C1;91,800366
71;DB08988;CCOC(=O)C1(C2=CC=CC=C2)CCCN(C)CC1;67,913908
72;DB08990;Cl.Cl.CCOC(CN1CCN(CC(C)C(=O)C2=CC=CC=C2)CC1)C1=CC=CC=C1;102,550431
73;DB08992;CCC1=CC=C(C(=O)C(C)CN2CCCCC2)C=C1;69,800599
74;DB08998;CNCCON=C1C2=CC=CC=C2C=CC2=CC=CC=C12;152,053811
75;DB09000;CC(CN(C)C)CN1C2=CC=CC=C2SC2=C1C=C(C#N)C=C2;109,563208
76;DB09007;CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1;99,227737
77;DB09013;CC(=O)C1CC2=C(O1)C(OCC(O)CNC(C)C)=CC=C2;114,372319
78;DB09014;CCCCSC1=CC=C(C(SCCN(C)C)C2=CC=CC=C2)C=C1;124,550785
